date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-06-24,soul-builder,claude-sonnet-4-6,3202,12389,1338931,44841
2026-06-24,create-skill,claude-opus-4-8,3959,31434,2697616,105775
2026-06-24,tweet-digest,claude-opus-4-7,11,1320,264943,15954
2026-06-24,tweet-roundup,claude-sonnet-4-6,5876,15237,719010,41980
2026-06-24,thread-writer,claude-opus-4-8,2247,10968,696733,82044
2026-06-25,tweet-digest,claude-sonnet-4-6,7,1241,173688,15704
2026-06-25,onboard,claude-haiku-4-5-20251001,170,5622,894891,46708
2026-06-25,tweet-roundup,claude-sonnet-4-6,1237,9580,658751,29752
2026-06-25,heartbeat,claude-haiku-4-5-20251001,135,8662,872197,55771
2026-06-25,tweet-roundup,claude-sonnet-4-6,1172,9388,616854,29717
2026-06-25,tweet-digest,claude-sonnet-4-6,6,1314,134165,12550
2026-06-25,tweet-roundup,claude-sonnet-4-6,3426,16582,531518,36787
2026-06-26,tweet-roundup,claude-sonnet-4-6,4439,17067,1197203,70061
2026-06-26,tweet-roundup,claude-sonnet-4-6,5177,19462,1343676,54952
2026-06-26,heartbeat,claude-haiku-4-5-20251001,153,10813,426757,58688
